#,Name,Team,ESPN,Y!,$,G,GS,QS,TBF,IP,W,L,SV,HLD,H,ER,K,BB,HBP,HR,ERA,SIERA,WHIP,GB%,LD%,FB%,BABIP,Own%,RazzID
387,Max Scherzer,TOR,SP,SP,-11.1,15,15,7,341,79.6,5,5,0,0,75,41,75,25,3,14,4.58,4.45,1.26,30,20,50,0.269,5,3137
388,Brock Stewart,LAD,RP,RP,-11.1,21,0,0,86,20.5,1,1,0,5,16,8,25,8,1,2,3.37,3.32,1.18,38,19,42,0.273,0,16727
389,Josh Sborz,TEX,RP,RP,-11.1,32,0,0,138,32.1,2,2,0,3,28,14,33,15,1,4,4.05,4.09,1.34,40,20,40,0.282,0,622250
390,Kade Strowd,ARI,RP,RP,-11.1,47,0,0,183,42.1,2,2,0,9,41,19,38,20,2,4,4.03,4.32,1.46,49,21,30,0.314,0,669704
391,Steven Cruz,KC,RP,RP,-11.1,35,0,0,150,35.1,2,2,0,7,31,16,34,17,2,4,4.08,4.29,1.36,41,20,40,0.285,0,674444
392,Ricky Vanasco,DET,RP,RP,-11.1,29,0,0,126,29.2,2,1,0,10,25,12,31,14,1,3,3.82,3.82,1.34,43,20,37,0.285,0,676568
393,Ron Marinaccio,SD,RP,RP,-11.1,45,0,0,198,45.2,2,2,0,5,43,22,41,21,3,6,4.44,4.51,1.43,42,20,38,0.290,0,676760
394,Wikelman Gonzalez,CHW,RP,RP,-11.1,47,0,0,207,46.8,2,3,0,5,43,23,47,27,3,6,4.43,4.74,1.49,39,22,39,0.288,0,682790
395,Yariel Rodriguez,TOR,RP,RP,-11.1,27,0,0,114,26.8,1,1,0,6,22,11,30,13,1,3,3.83,3.79,1.31,41,20,39,0.277,0,684320
396,Paxton Schultz,WSH,RP,RP,-11.1,38,0,0,164,38.1,2,2,0,5,37,18,34,14,1,5,4.27,4.46,1.34,37,21,41,0.290,0,687606
397,Sawyer Gipson-Long,DET,RP,RP,-11.1,22,2,1,119,28.5,2,1,0,4,27,12,25,8,1,3,3.85,3.75,1.22,44,20,36,0.287,0,687830
398,Bradgley Rodriguez,SD,RP,RP,-11.1,45,0,0,197,45.2,2,2,0,5,44,21,41,22,2,5,4.16,4.44,1.46,47,21,32,0.302,0,699134
399,Nate Pearson,HOU,RP,RP,-11.2,35,0,0,153,35.3,2,2,0,4,32,17,36,17,2,5,4.28,4.35,1.38,38,20,43,0.281,0,663878
400,Tristan Beck,SF,RP,RP,-11.2,29,0,0,151,35.2,2,2,0,3,33,17,30,12,1,4,4.23,4.07,1.29,39,20,41,0.280,0,663941
401,Ben Casparius,LAD,RP,RP,-11.2,36,0,0,154,35.9,2,2,0,8,35,17,34,14,2,5,4.32,4.47,1.36,37,21,42,0.288,0,676508
402,Daysbel Hernandez,ATL,RP,RP,-11.2,35,0,0,155,35.1,2,2,0,9,31,16,37,20,2,4,4.21,4.31,1.45,42,20,39,0.289,0,678226
403,Yaramil Hiraldo,BAL,RP,RP,-11.2,31,0,0,129,30.5,2,2,0,6,27,14,31,13,1,4,3.99,4.24,1.31,37,21,42,0.286,0,682274
404,Ty Adcock,SD,RP,RP,-11.2,35,0,0,152,35.1,2,2,0,4,33,17,33,14,1,5,4.30,4.13,1.34,40,20,41,0.279,0,686654
405,Cade Gibson,MIA,RP,RP,-11.2,51,0,0,223,51.2,2,3,0,0,53,24,40,21,4,5,4.16,4.55,1.45,49,21,30,0.309,0,806188
406,Eli Morgan,KC,RP,RP,-11.3,38,0,0,166,38.4,2,2,0,6,37,19,33,16,1,6,4.52,4.65,1.36,35,20,45,0.281,0,669212
407,Garrett Acton,MIN,RP,RP,-11.3,30,0,0,130,30.1,1,2,0,3,26,14,31,14,1,4,4.26,4.21,1.32,32,20,49,0.268,0,670183
408,Jackson Rutledge,WSH,RP,RP,-11.3,41,0,0,178,41.0,2,2,0,1,40,20,35,17,2,5,4.38,4.61,1.39,40,20,40,0.292,0,671131
409,Nick Raquet,BAL,RP,RP,-11.3,45,0,0,194,44.8,2,2,0,9,46,21,35,17,2,6,4.19,4.54,1.41,45,21,34,0.302,0,675919
410,Luke Little,CHC,RP,RP,-11.3,32,0,0,126,28.8,2,1,0,5,24,12,33,18,2,2,3.61,4.08,1.45,49,20,31,0.300,0,681432
411,Spencer Miles,TOR,RP,RP,-11.3,32,0,0,139,32.0,2,2,0,4,30,15,31,13,1,4,4.11,4.10,1.36,43,21,36,0.291,0,693686
412,Dylan Ross,NYM,RP,RP,-11.3,35,0,0,153,35.1,2,2,0,4,32,16,36,19,1,4,4.09,4.20,1.44,44,21,35,0.297,0,697811
