#,Name,Team,ESPN,Y!,$,G,PA,AB,R,HR,RBI,SB,CS,H,1B,2B,3B,TB,SO,BB,HBP,AVG,OBP,SLG,OPS,Own%,RazzID
464,Ryan Waldschmidt,ARI,OF,OF,-31.3,37,98,85,12,2,10,2,1,21,14,4,1,31,24,11,2,0.242,0.334,0.369,0.703,3,814439
465,Mike Tauchman,NYM,OF,OF,-31.4,41,112,95,13,2,11,1,0,22,15,4,0,34,26,14,1,0.232,0.335,0.355,0.690,0,15274
466,Riley Adams,WSH,C,C,-31.4,37,95,86,10,3,10,0,0,18,11,4,0,30,32,7,2,0.208,0.277,0.349,0.626,0,656180
467,Tyler Fitzgerald,LAD,2B,2B,-31.4,39,97,89,11,3,11,3,1,19,12,4,0,33,30,6,1,0.217,0.273,0.369,0.642,0,666149
468,Trey Sweeney,DET,SS,SS,-31.7,46,116,104,12,2,11,2,1,23,15,4,0,35,31,10,1,0.217,0.289,0.338,0.628,0,700242
469,Alex Jackson,MIN,C,C,-31.8,32,78,71,9,3,9,1,0,14,8,3,0,26,25,6,1,0.202,0.266,0.366,0.633,0,656577
470,Nelson Rada,LAA,OF,OF,-31.8,39,104,91,11,1,8,5,1,21,17,3,1,28,25,10,1,0.233,0.315,0.304,0.619,0,703185
471,Nolan Jones,CLE,OF,OF,-31.9,35,95,82,11,3,10,2,1,19,12,4,0,31,29,11,1,0.228,0.322,0.375,0.698,0,666134
472,Zac Veen,COL,OF,OF,-31.9,32,81,73,10,2,9,2,1,18,12,4,0,28,19,7,1,0.247,0.310,0.389,0.699,0,691728
473,Otto Kemp,PHI,3B,1B/3B/ OF,-32.0,39,98,88,11,3,10,2,1,19,12,4,0,32,28,7,3,0.222,0.295,0.364,0.659,0,805249
474,Eric Wagaman,FA,1B/OF,1B/3B/ OF,-32.1,33,84,77,9,2,9,1,0,19,12,4,0,29,19,6,1,0.241,0.296,0.381,0.677,0,676572
475,Jacob Melton,TB,OF,OF,-32.1,31,78,70,8,2,8,5,1,15,9,3,0,24,24,6,1,0.210,0.277,0.345,0.622,0,689200
476,Reese McGuire,FA,C,C,-32.2,31,79,72,9,2,8,1,0,16,11,3,0,24,19,5,1,0.223,0.278,0.337,0.616,0,15674
